Model,Top %,Total Features,Top % Feature Count,Feature Indexes
flaubert_base_cased,1%,768,7,"5, 31, 102, 132, 21, 2, 27, 128, 45, 167"
flaubert_base_cased,2%,768,15,"5, 31, 102, 132, 21, 2, 27, 128, 45, 167, 64, 39, 48, 29, 88, 138, 246, 1, 40, 221"
flaubert_base_cased,4%,768,30,"5, 31, 102, 132, 21, 2, 27, 128, 45, 167, 64, 39, 48, 29, 88, 138, 246, 1, 40, 221, 55, 106, 57, 180, 109, 105, 44, 288, 261, 87, 63, 15, 56, 316, 240, 19, 111, 147, 0, 169"
flaubert_base_uncased,1%,768,7,"0, 3, 62, 14, 34, 68, 84, 164, 100, 20"
flaubert_base_uncased,2%,768,15,"0, 3, 62, 14, 34, 68, 84, 164, 100, 20, 95, 4, 82, 79, 127, 17, 211, 7, 158, 1"
flaubert_base_uncased,4%,768,30,"0, 3, 62, 14, 34, 68, 84, 164, 100, 20, 95, 4, 82, 79, 127, 17, 211, 7, 158, 1, 294, 12, 126, 104, 248, 297, 8, 193, 142, 218, 101, 310, 49, 75, 279, 426, 24, 18, 38, 182"
flaubert_large_uncased,1%,1024,10,"24, 9, 10, 249, 26, 113, 398, 52, 6, 61"
flaubert_large_uncased,2%,1024,20,"24, 9, 10, 249, 26, 113, 398, 52, 6, 61, 69, 92, 290, 103, 545, 552, 124, 4, 131, 42"
flaubert_large_uncased,4%,1024,40,"24, 9, 10, 249, 26, 113, 398, 52, 6, 61, 69, 92, 290, 103, 545, 552, 124, 4, 131, 42, 287, 399, 156, 37, 162, 165, 660, 618, 235, 212, 533, 200, 14, 161, 285, 503, 225, 112, 233, 445"
flaubert_small_cased,1%,512,5,"54, 23, 7, 51, 114, 6, 28, 73, 16, 47"
flaubert_small_cased,2%,512,10,"54, 23, 7, 51, 114, 6, 28, 73, 16, 47, 80, 59, 41, 154, 19, 121, 71, 206, 65, 307"
flaubert_small_cased,4%,512,20,"54, 23, 7, 51, 114, 6, 28, 73, 16, 47, 80, 59, 41, 154, 19, 121, 71, 206, 65, 307, 202, 144, 155, 50, 33, 152, 252, 74, 315, 215, 253, 43, 4, 232, 197, 295, 141, 35, 76, 149"
